#structure	resolution	length	predicted_missing_bps	filtered_missing_bps	unpaired_fraction
6wdb	4.0	4807	210	116	0.0241
7nsq	3.1	4733	152	86	0.0182
8fl9	2.75	3635	178	68	0.0187
6ot3	3.9	4642	166	92	0.0198
7uy5	3.5	170	18	12	0.0706
6zmt	3.0	1569	38	16	0.0102
7qg8	3.97	4695	221	120	0.0256
7nhl	3.1	4647	195	102	0.0219
7jt1	3.3	4659	204	110	0.0236
6lu8	3.13	3753	251	106	0.0282
6x7k	3.1	4759	286	166	0.0349
6yw5	2.85	1435	58	32	0.0223
6sgb	3.3	440	92	32	0.0727
7oh3	3.4	3289	203	90	0.0274
7nrd	4.36	5429	296	146	0.0269
7lj3	2.9	225	6	6	0.0267
6qdw	2.83	3081	192	114	0.037
7qh7	2.89	1312	66	30	0.0229
7m4w	2.55	4373	132	78	0.0178
6pcs	2.8	3015	142	92	0.0305
7syh	4.6	1859	168	100	0.0538
6ppk	4.4	2770	210	158	0.057
7ez0	3.14	387	12	6	0.0155
7odt	3.1	1525	41	14	0.0092
